Alpha,Beta,Gamma,FileSize,Average_Throughput
1,1,1,1,0.200992
1,1,1,100,0.200373
1,1,1,1000,0.197651
1,1,1,10000,0.198411
1,1,1,100000,0.19695
1,1,1,1000000,0.197367
1,1,1,100000000,0.198005
1,1,2,1,0.198615
1,1,2,100,0.196601
1,1,2,1000,0.199117
1,1,2,10000,0.198012
1,1,2,100000,0.19716
1,1,2,1000000,0.199104
1,1,2,100000000,0.197861
1,1,3,1,0.196656
1,1,3,100,0.198034
1,1,3,1000,0.197889
1,1,3,10000,0.19788
1,1,3,100000,0.198346
1,1,3,1000000,0.195305
1,1,3,100000000,0.197394
1,2,1,1,0.197968
1,2,1,100,0.198315
1,2,1,1000,0.197749
1,2,1,10000,0.197081
1,2,1,100000,0.198637
1,2,1,1000000,0.197839
1,2,1,100000000,0.197183
1,2,2,1,0.197433
1,2,2,100,0.197213
1,2,2,1000,0.197568
1,2,2,10000,0.196054
1,2,2,100000,0.196853
1,2,2,1000000,0.199836
1,2,2,100000000,0.198
1,2,3,1,0.199519
1,2,3,100,0.199839
1,2,3,1000,0.201103
1,2,3,10000,0.200393
1,2,3,100000,0.196764
1,2,3,1000000,0.196918
1,2,3,100000000,0.198162
1,3,1,1,0.198304
1,3,1,100,0.19896
1,3,1,1000,0.197694
1,3,1,10000,0.198282
1,3,1,100000,0.19755
1,3,1,1000000,0.197862
1,3,1,100000000,0.196619
1,3,2,1,0.198458
1,3,2,100,0.197751
1,3,2,1000,0.199303
1,3,2,10000,0.197385
1,3,2,100000,0.198726
1,3,2,1000000,0.195833
1,3,2,100000000,0.198293
1,3,3,1,0.198837
1,3,3,100,0.199276
1,3,3,1000,0.197361
1,3,3,10000,0.196859
1,3,3,100000,0.197912
1,3,3,1000000,0.196546
1,3,3,100000000,0.19804
1,4,1,1,0.200125
1,4,1,100,0.197201
1,4,1,1000,0.195117
1,4,1,10000,0.194529
1,4,1,100000,0.196745
1,4,1,1000000,0.19747
1,4,1,100000000,0.199032
1,4,2,1,0.197911
1,4,2,100,0.197204
1,4,2,1000,0.197388
1,4,2,10000,0.196778
1,4,2,100000,0.196933
1,4,2,1000000,0.197015
1,4,2,100000000,0.197955
1,4,3,1,0.199523
1,4,3,100,0.196439
1,4,3,1000,0.197026
1,4,3,10000,0.198301
1,4,3,100000,0.199246
1,4,3,1000000,0.197957
1,4,3,100000000,0.196425
1,5,1,1,0.195429
1,5,1,100,0.199349
1,5,1,1000,0.19638
1,5,1,10000,0.197487
1,5,1,100000,0.198234
1,5,1,1000000,0.198013
1,5,1,100000000,0.195718
1,5,2,1,0.196884
1,5,2,100,0.196716
1,5,2,1000,0.198016
1,5,2,10000,0.197457
1,5,2,100000,0.198074
1,5,2,1000000,0.197867
